"SAFESCAPE PLATFORM ANALYTICS REPORT"
"Exported Date:",2026-07-07
"Exported Time:",14:08:03
Location:,"Santa Cruz, Laguna, Philippines"

"=== SUMMARY STATISTICS ==="
Metric,Value
"Total Users",6
"Profiles Completed",5
"Pre-Tests Taken",5
"Post-Tests Taken",0
"Avg Pre-Test Score",11.2
"Avg Post-Test Score",0
"Avg Improvement (points)",0
"Total Engagement Points",255
"Avg Engagement / User",42.5
"Active Users Today",5
"Active Users This Week",5

"=== USERS BY BARANGAY ==="
Barangay,Users,"Profiles Completed","Avg Pre-Test","Avg Post-Test",Percentage
Duhat,1,1,10,0,+0%
Gatid,1,1,10,0,+0%
Oogong,1,1,15,0,+0%

"=== DEMOGRAPHICS ==="
Gender,Count
Male,5

"Age Group",Count
"Under 10",0
"10 to 14",1
15-17,0
18-24,3
25-34,1
35-44,0
45-54,0
55+,0

Occupation,Count
Student,4

School,Count
"Laguna State Polytechnic University (LSPU) - Main Campus",2
"Laguna Science Integrated High School",1

"=== KNOWLEDGE GAP ANALYSIS ==="
Category,"Avg Score (%)","Total Questions","Correct Answers","Incorrect Answers"
"Fire Prevention",58,8,7,5
"Kitchen Safety",60,4,6,4
"Fire Extinguisher Use",67,6,10,5
"Smoke Detector Knowledge",67,25,14,7
"Electrical Safety",80,2,4,1
"General Safety Awareness",86,6,6,1
"Emergency Response",100,25,9,0
"Evacuation Planning",100,29,11,0

"=== SCHOOL LEADERBOARD ==="
Rank,"School Name",Type,Students,"Avg Pre-Test","Avg Post-Test",Increase,"Completion Rate (%)"
1,"Laguna State Polytechnic University - Sta. Cruz",college,0,0,0,0%,0%
2,"Pili Elementary School",elementary,0,0,0,0%,0%
3,"Barangay Pagsawitan Elementary School",elementary,0,0,0,0%,0%
4,"Bagumbayan Elementary School",elementary,0,0,0,0%,0%
5,"Sta. Cruz Central Elementary School",elementary,1,15,0,-100%,100%
6,"Laguna Science Integrated High School",Other,0,0,0,0%,0%
7,"Sta. Cruz National High School",highschool,0,0,0,0%,0%
8,"Laguna State Polytechnic University (LSPU) - Main Campus",Other,2,11,0,-100%,50%

"=== FEEDBACK BY FEATURE ==="
"Feature Name",Type,"Average Rating","Total Reviews"

"=== EXECUTIVE SUMMARY & NARRATIVE REPORT ==="
"Report Summary:"
"This report details the learning and engagement progress on the Berong Safescape"
"E-Learning platform in Santa Cruz, Laguna."

"1. PLATFORM REACH:"
"A total of 6 users are registered on the platform. Out of these, 5 users have"
"fully completed their profiles, showing strong adoption across targeted"
demographics.

"2. ASSESSMENT GRADUATION:"
"5 users completed the pre-test, while 0 users completed the post-test. The"
"average score increased from 11.2/15 to 0/15, representing an average points"
"improvement of +0 per user."

"3. KNOWLEDGE GAP EVALUATION:"
"The category requiring the most focus is 'Fire Prevention' (average score of"
"58%), indicating an area for curriculum expansion. Conversely, users showed the"
"highest mastery in 'Emergency Response' (average score of 100%)."

"4. SCHOOL ADOPTION:"
"'Laguna State Polytechnic University - Sta. Cruz' is the leading educational"
"institution on the platform, achieving a top average post-test score of 0/15."

Conclusion:
"Report concluded successfully. Exported by Safescape Administrator."
